Function Map,,,,,,,,,,,,,,,,,,
Officially Documented Addresses,,Auto-analysis possible functions,,User-guessed functions,,,,,,,,Symgrate,,,,,,
20221112.r2,,Binja,Ghidra,fventuri,,,,nu (0x6E75),,,,Binary Ninja (binja),,radare2,,Ghidra,,Library
address,note,address,address,address,function,guess/fact,notes,address,function,guess/fact,notes,address,signature match,address,signature match,address,signature match,
,,,,,,,,08000000,bootloader start address,g,based on G90 & STM32,,,,,,,
0x08020000,f _base,,,,,,,,,,,,,,,,,
,,sub_8021188,FUN_08021188,,,,,,,,,,,,,,,
,,sub_80211a6,,,,,,,,,,,,,,,,
,,sub_80211a8,FUN_080211a8,,,,,,,,,,,,,,,
,,sub_8021200,FUN_08021200,,,,,,,,,,,,,,,
,,sub_802129c,FUN_0802129c,,,,,,,,,,,,,,,
,,sub_8021338,FUN_08021338,,,,,,,,,,,,,,,
,,sub_8021390,FUN_08021390,,,,,,,,,,,,,,,
,,sub_80213ec,FUN_080213ec,,,,,,,,,,,,,,,
,,sub_802148c,FUN_0802148c,,,,,,,,,,,,,,,
,,sub_80214e0,FUN_080214e0,,,,,,,,,,,,,,,
,,sub_802166c,FUN_0802166c,,,,,,,,,,,,,,,
,,sub_80216f8,FUN_080216f8,,,,,,,,,,,,,,,
,,sub_80219f4,FUN_080219f4,,,,,,,,,,,,,,,
,,sub_8021a58,FUN_08021a58,,,,,,,,,,,,,,,
,,sub_8021ac4,,,,,,,,,,,,,,,,
,,sub_8021ac8,FUN_08021ac8,,,,,,,,,,,,,,,
,,sub_8021e22,,,,,,,,,,,,,,,,
,,sub_8021e28,FUN_08021e28,,,,,,,,,,,,,,,
,,sub_8021e6c,,,,,,,,,,,,,,,,
,,sub_8021e70,FUN_08021e70,,,,,,,,,,,,,,,
,,sub_8021fca,,,,,,,,,,,,,,,,
,,sub_8021fd0,FUN_08021fd0,,,,,,,,,,,,,,,
,,sub_80221ae,,,,,,,,,,,,,,,,
,,sub_80221ec,FUN_080221ec,,,,,,,,,,,,,,,
,,sub_8022240,,,,,,,,,,,,,,,,
,,sub_8022244,FUN_08022244,,,,,,,,,08022244,_HTTPServer_sleepms,08022244,_HTTPServer_sleepms,08022244,_HTTPServer_sleepms,/opt/symgrate2-archive/ti/ns_2_60_00_07/source/ti/net/http/lib/gcc/m4/httpserver_debug.a
,,sub_802252c,FUN_0802252c,,,,,,,,,,,,,,,
,,sub_8022658,FUN_08022658,,,,,,,,,,,,,,,
,,sub_8022684,FUN_08022684,,,,,,,,,,,,,,,
,,sub_8022698,FUN_08022698,,,,,,,,,,,,,,,
,,sub_802270e,,,,,,,,,,,,,,,,
,,sub_8022710,FUN_08022710,,,,,,,,,,,,,,,
,,sub_8022a74,,,,,,,,,,,,,,,,
,,sub_80230a4,FUN_080230a4,,,,,,,,,,,,,,,
