 address			function/certainty			who found it			notes
080305f0			UNKNOWN						
08030788			UNKNOWN						
080308e4			UNKNOWN						
08030aa0			UNKNOWN						
08030ba0			UNKNOWN						
08030c38			UNKNOWN						
08030cd0			UNKNOWN						
08030ec4			UNKNOWN						
08030f3c			UNKNOWN						
08030fe0			UNKNOWN						
08031048			UNKNOWN						
08031070			UNKNOWN						
08031098			UNKNOWN						
080310ac			UNKNOWN						
080310b4			UNKNOWN						
08031108			UNKNOWN						
08031140			UNKNOWN						
080314bc			UNKNOWN						
08031672			UNKNOWN						
080316a0			UNKNOWN						
08031754			UNKNOWN						
08031790			UNKNOWN						
080318e4			UNKNOWN						
080318f4			UNKNOWN						
08031950			UNKNOWN						
080319b4			UNKNOWN						
080319fc			UNKNOWN						
08031b00			UNKNOWN						
08031b4c			UNKNOWN						
08031d3c			UNKNOWN						
08031e20			UNKNOWN						
08031e88			UNKNOWN						
08032108			UNKNOWN						
08032218			UNKNOWN						
08032224			UNKNOWN						
08032230			UNKNOWN						
0803223c			UNKNOWN						
08032248			UNKNOWN						
08032254			UNKNOWN						
08032264			UNKNOWN						
08032270			UNKNOWN						
0803227c			UNKNOWN						
08032294			I2C3_EV_IRQHandler_f_			startup_stm32f427xx.s			
08032478			I2C3_ER_IRQHandler_f_			startup_stm32f427xx.s			
08032540			UNKNOWN						
08032550			UNKNOWN						
0803255c			UNKNOWN						
08032598			UNKNOWN						
080325c0			UNKNOWN						
08032618			UNKNOWN						
080326d4			UNKNOWN						
080326e8			UNKNOWN						
080326ec			UNKNOWN						
08032730			UNKNOWN						
080327ac			UNKNOWN						
08032864			UNKNOWN						
08032960			main_f_			startup_stm32f427xx.s			
08032b84			UNKNOWN						
08032ba0			UNKNOWN						
08032ba8			UNKNOWN						
08032bb4			UNKNOWN						
08032bb8			UNKNOWN						
08032bbc			UNKNOWN						
08032bf8			SystemInit_f_			startup_stm32f427xx.s			
08032c44			SystemCoreClockUpdate			fventuri			
08032cb4			TIM2_IRQHandler_f_			startup_stm32f427xx.s			
08032cec			TIM4_IRQHandler_f_			startup_stm32f427xx.s			
08032d1c			UNKNOWN						
08032d4c			UNKNOWN						
08032d84			Reset_Handler_f_			startup_stm32f427xx.s			
08032dd4			Default_Handler_f_			startup_stm32f427xx.s			
08032dd8			arm_fill_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08032e14			arm_copy_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08032e74			arm_min_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08032f44			arm_cfft_radix8by2_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
080330e8			arm_cfft_radix8by4_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
080335a4			arm_cfft_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08033698			arm_fir_interpolate_init_q31_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM3l_math.a
080336d0			arm_fir_interpolate_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08033b08			arm_fir_init_q31_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08033b2c			arm_fir_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08033ff4			arm_fir_decimate_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
0803436c			arm_biquad_cascade_df1_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
0803450c			arm_cmplx_mag_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
080346dc			arm_sin_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.5.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08034764			arm_cos_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
080347e4			arm_scale_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08034850			arm_radix8_butterfly_f32_g_			fventuri/symgrate			/opt/symgrate2-archive/KeilPacks/ARM.CMSIS.4.4.0.pack/CMSIS/Lib/GCC/libarm_cortexM4lf_math.a
08034e14			UNKNOWN						
08034e20			__libc_init_array_f_			startup_stm32f427xx.s			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08034e68			memcpy_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08034e7e			memset_g_			symgrate			
08034e8e			__cvt_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08034f50			__exponent_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v8-m.main/fpv5-sp/hard/libc_nano.a
08034fb8			_printf_float_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08035438			_printf_common_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_52_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7e-m/fpv4-sp/hard/libc_nano.a
08035524			_printf_i_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/bios_6_73_00_12/packages/gnu/targets/arm/libs/install-native/arm-none-eabi/lib/thumb/v7-m/libc_nano.a
08035748			_scanf_float_g_			symgrate			
08035b0c			iprintf_g_			fventuri/symgrate			/opt/symgrate2-archive/ti/ccs100/ccs/tools/compiler/gcc-arm-none-eabi-7-2017-q4-major/arm-none-eabi/lib/thumb/v7-ar/fpv3/hard/libc_nano.a
08035b3c			_puts_r_g_			symgrate			
08035bf4			UNKNOWN						
